2026-06-29 08:46:59 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 08:47:09 [INFO] User: Guest, Action: OCR_Okuma, Details: Yeni bir fiş dosyası yükleniyor: png2pdf.pdf (application/pdf)
2026-06-29 08:47:10 [ERROR] User: Guest, Action: OCR_Okuma, Details: OCR Okuma hatası: Gemini API anahtarı ayarlanmamış veya eksik.
2026-06-29 08:47:14 [INFO] User: Guest, Action: OCR_Okuma, Details: Yeni bir fiş dosyası yükleniyor: WhatsApp Image 2026-06-26 at 08.34.49.jpeg (image/jpeg)
2026-06-29 08:47:17 [ERROR] User: Guest, Action: OCR_Okuma, Details: OCR Okuma hatası: Gemini API anahtarı ayarlanmamış veya eksik.
2026-06-29 08:51:58 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 08:52:08 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 08:52:36 [INFO] User: Guest, Action: OCR_Okuma, Details: Yeni bir fiş dosyası yükleniyor: png2pdf.pdf (application/pdf)
2026-06-29 08:52:39 [SUCCESS] User: Guest, Action: OCR_Okuma, Details: Gemini OCR başarıyla tamamlandı (PDF Sayfa 1). Algılanan Mağaza: A101 YENI MAGAZACILIK A.Ş.
2026-06-29 08:52:59 [INFO] User: Guest, Action: OCR_Okuma, Details: Yeni bir fiş dosyası yükleniyor: m1.jpg (image/jpeg)
2026-06-29 08:53:03 [SUCCESS] User: Guest, Action: OCR_Okuma, Details: Gemini OCR başarıyla tamamlandı. Algılanan Mağaza: UĞUR GIDA AĞAÇ AKS. İNŞ. SAN. TİC. LTD. ŞTİ.
2026-06-29 08:53:19 [INFO] User: Guest, Action: OCR_Okuma, Details: Yeni bir fiş dosyası yükleniyor: png2pdf.pdf (application/pdf)
2026-06-29 08:53:21 [SUCCESS] User: Guest, Action: OCR_Okuma, Details: Gemini OCR başarıyla tamamlandı (PDF Sayfa 1). Algılanan Mağaza: A101 YENI MAGAZACILIK A.Ş.
2026-06-29 08:54:59 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 08:55:05 [INFO] User: Guest, Action: OCR_Okuma, Details: Yeni bir fiş dosyası yükleniyor: png2pdf.pdf (application/pdf)
2026-06-29 08:55:08 [SUCCESS] User: Guest, Action: OCR_Okuma, Details: Gemini OCR başarıyla tamamlandı (PDF Sayfa 1). Algılanan Mağaza: A101 YENI MAGAZACILIK A.Ş.
2026-06-29 08:55:34 [INFO] User: adanalı, Action: Veri_Kayıt, Details: Yeni bir fiş kaydetme isteği alındı. Mağaza: NIPA ELEKTRIK OTOMOSYO VE TIC LTD STI, Tutar: 800 TL, Kullanıcı: adanalı
2026-06-29 08:55:34 [SUCCESS] User: adanalı, Action: Veri_Kayıt, Details: Fiş başarıyla kaydedildi. Veritabanı ID: 28
2026-06-29 08:55:34 [SUCCESS] User: adanalı, Action: Excel_Kayıt, Details: Excel dosyası başarıyla güncellendi: fis_raporu_adanalı.xlsx
2026-06-29 08:55:34 [SUCCESS] User: System, Action: Db_Backup, Details: Sistem logları başarıyla backup klasörüne yedeklendi. Yedek: app_20260629_085534.log
2026-06-29 08:55:34 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 08:55:38 [INFO] User: adanalı, Action: Veri_Kayıt, Details: Yeni bir fiş kaydetme isteği alındı. Mağaza: A101 YENI MAGAZACILIK A.S., Tutar: 79 TL, Kullanıcı: adanalı
2026-06-29 08:55:38 [SUCCESS] User: adanalı, Action: Veri_Kayıt, Details: Fiş başarıyla kaydedildi. Veritabanı ID: 29
2026-06-29 08:55:38 [SUCCESS] User: adanalı, Action: Excel_Kayıt, Details: Excel dosyası başarıyla güncellendi: fis_raporu_adanalı.xlsx
2026-06-29 08:55:38 [SUCCESS] User: System, Action: Db_Backup, Details: Sistem logları başarıyla backup klasörüne yedeklendi. Yedek: app_20260629_085538.log
2026-06-29 08:55:38 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 08:55:39 [INFO] User: adanalı, Action: Veri_Kayıt, Details: Yeni bir fiş kaydetme isteği alındı. Mağaza: A101 YENI MAGAZACILIK A.S., Tutar: 79 TL, Kullanıcı: adanalı
2026-06-29 08:55:39 [SUCCESS] User: adanalı, Action: Veri_Kayıt, Details: Fiş başarıyla kaydedildi. Veritabanı ID: 30
2026-06-29 08:55:39 [SUCCESS] User: adanalı, Action: Excel_Kayıt, Details: Excel dosyası başarıyla güncellendi: fis_raporu_adanalı.xlsx
2026-06-29 08:55:39 [SUCCESS] User: System, Action: Db_Backup, Details: Sistem logları başarıyla backup klasörüne yedeklendi. Yedek: app_20260629_085539.log
2026-06-29 08:55:39 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:05:01 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:18:28 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:34:25 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:34:27 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:34:30 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:34:44 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:34:49 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:34:52 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:34:58 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:35:25 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:36:51 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:38:38 [INFO] User: adanalı, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: adanalı
2026-06-29 09:44:07 [INFO] User: stajyer, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: stajyer
2026-06-29 09:51:31 [INFO] User: stajyer, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: stajyer
2026-06-29 09:51:34 [INFO] User: stajyer, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: stajyer
2026-06-29 09:54:30 [INFO] User: stajyer, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: stajyer
2026-06-29 09:54:34 [INFO] User: stajyer, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: stajyer
2026-06-29 09:55:57 [INFO] User: stajyer, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: stajyer
2026-06-29 09:55:59 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 09:56:12 [INFO] User: stajyer, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: stajyer
2026-06-29 09:56:14 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 09:56:16 [INFO] User: stajyer, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: stajyer
2026-06-29 09:56:19 [INFO] User: stajyer, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: stajyer
2026-06-29 09:56:36 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 09:56:37 [INFO] User: stajyer, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: stajyer
2026-06-29 09:56:37 [INFO] User: Guest, Action: Detay_Görüntüleme, Details: Fiş detayı istendi. ID: 29
2026-06-29 09:58:57 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 09:58:57 [INFO] User: Guest, Action: Detay_Görüntüleme, Details: Fiş detayı istendi. ID: 29
2026-06-29 09:59:58 [INFO] User: Guest, Action: Detay_Görüntüleme, Details: Fiş detayı istendi. ID: 29
2026-06-29 09:59:58 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 09:59:58 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 09:59:58 [INFO] User: Guest, Action: Detay_Görüntüleme, Details: Fiş detayı istendi. ID: 29
2026-06-29 10:00:07 [INFO] User: Guest, Action: Detay_Görüntüleme, Details: Fiş detayı istendi. ID: 29
2026-06-29 10:00:07 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:00:25 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:00:50 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:02:25 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:03:10 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:03:11 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:03:17 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:03:18 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:03:19 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:06:41 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:06:43 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:07:08 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:07:30 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:08:22 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:08:27 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:08:36 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:08:37 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:08:39 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:08:39 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:08:39 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:08:43 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:11:42 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:13:12 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:13:34 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:13:46 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:14:02 [INFO] User: edit, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: edit
2026-06-29 10:17:46 [INFO] User: edit, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: edit
2026-06-29 10:18:00 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:18:13 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:19:22 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:19:38 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:42:57 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:43:07 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:55:10 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 10:56:24 [INFO] User: Tümü, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: Tümü
2026-06-29 13:04:29 [INFO] User: edit, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: edit
2026-06-29 14:16:30 [SUCCESS] User: edit, Action: Kullanıcı Girişi, Details: Kullanıcı sisteme giriş yaptı.
2026-06-29 14:16:30 [INFO] User: edit, Action: Veri_Listeleme, Details: Kayıtlı fiş listesi istendi. Kullanıcı: edit
2026-06-29 14:16:36 [INFO] User: Guest, Action: OCR_Okuma, Details: Yeni bir fiş dosyası yükleniyor: sok-market-fis-etiket-uyumsuzlugu-1.jpg (image/jpeg)
2026-06-29 14:16:40 [SUCCESS] User: Guest, Action: OCR_Okuma, Details: Gemini OCR başarıyla tamamlandı. Algılanan Mağaza: ŞOK MARKETLER TİC.A.Ş
2026-06-29 14:16:43 [INFO] User: edit, Action: Veri_Kayıt, Details: Yeni bir fiş kaydetme isteği alındı. Mağaza: ŞOK MARKETLER TİC.A.Ş, Tutar: 427,42 TL, Kullanıcı: edit
2026-06-29 14:16:43 [SUCCESS] User: edit, Action: Veri_Kayıt, Details: Fiş başarıyla kaydedildi. Veritabanı ID: 31
2026-06-29 14:16:43 [SUCCESS] User: edit, Action: Excel_Kayıt, Details: Excel dosyası başarıyla güncellendi: fis_raporu_edit.xlsx
